<ProjectName> <NoCType> <NumRotX> <NumRotY> <FlitSize> <BufferDepth> <FlowControl> <VirtualChannel> <Algorithm> <CyclesPerFlit> <CyclesToRoute> <Scheduling> <SCTB> <CRCType> <Saboteur> <DR> <DF> <GN> <GP> <Routing> <CTRLRouting> <GSRouting> <BERouting>
HermesFP_2VC_3x3 HERMES 3 3 16 16 CreditBased 2 AlgorithmXY 1 5 Priority true none false false false false false "0" "0" "0" "0"
HermesFP_2VC_4x4 HERMES 4 4 16 16 CreditBased 2 AlgorithmXY 1 5 Priority true none false false false false false "0" "0" "0" "0"
HermesFP_4VC_2x2 HERMES 2 2 16 16 CreditBased 4 AlgorithmXY 1 5 Priority true none false false false false false "0" "0" "0" "0"
HermesFP_4VC_3x3 HERMES 3 3 16 16 CreditBased 4 AlgorithmXY 1 5 Priority true none false false false false false "0" "0" "0" "0"
HermesFP_4VC_4x4 HERMES 4 4 16 16 CreditBased 4 AlgorithmXY 1 5 Priority true none false false false false false "0" "0" "0" "0"
HermesTU_2x2 HERMESTU 2 2 16 16 CreditBased 2 UnidirectionalXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesTU_3x3 HERMESTU 3 3 16 16 CreditBased 2 UnidirectionalXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesTU_4x4 HERMESTU 4 4 16 16 CreditBased 2 UnidirectionalXY 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesTB_2x2 HERMESTB 2 2 16 16 CreditBased 1 WestFirstNonMinimalForTorus 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesTB_3x3 HERMESTB 3 3 16 16 CreditBased 1 WestFirstNonMinimalForTorus 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesTB_4x4 HERMESTB 4 4 16 16 CreditBased 1 WestFirstNonMinimalForTorus 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
HermesSR_1VC_2x2 HERMESSR 2 2 16 16 CreditBased 1 AlgorithmXY 1 5 AgeBased true none false false false false false "0" "0" "0" "0"
HermesSR_1VC_3x3 HERMESSR 3 3 16 16 CreditBased 1 AlgorithmXY 1 5 AgeBased true none false false false false false "0" "0" "0" "0"
HermesSR_1VC_4x4 HERMESSR 4 4 16 16 CreditBased 1 AlgorithmXY 1 5 AgeBased true none false false false false false "0" "0" "0" "0"
HermesSR_4VC_2x2 HERMESSR 2 2 16 16 CreditBased 4 AlgorithmXY 1 5 AgeBased true none false false false false false "0" "0" "0" "0"
HermesSR_4VC_3x3 HERMESSR 3 3 16 16 CreditBased 4 AlgorithmXY 1 5 AgeBased true none false false false false false "0" "0" "0" "0"
HermesSR_4VC_4x4 HERMESSR 4 4 16 16 CreditBased 4 AlgorithmXY 1 5 AgeBased true none false false false false false "0" "0" "0" "0"
HermesCRC_Lnk_2x2 HERMESCRC 2 2 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Link false false false false false "0" "0" "0" "0"
HermesCRC_Lnk_3x3 HERMESCRC 3 3 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Link false false false false false "0" "0" "0" "0"
HermesCRC_Lnk_4x4 HERMESCRC 4 4 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Link false false false false false "0" "0" "0" "0"
HermesCRC_Src_2x2 HERMESCRC 2 2 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Source false false false false false "0" "0" "0" "0"
HermesCRC_Src_3x3 HERMESCRC 3 3 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Source false false false false false "0" "0" "0" "0"
HermesCRC_Src_4x4 HERMESCRC 4 4 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Source false false false false false "0" "0" "0" "0"
HermesCRC_Ham_2x2 HERMESCRC 2 2 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Hamming false false false false false "0" "0" "0" "0"
HermesCRC_Ham_3x3 HERMESCRC 3 3 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Hamming false false false false false "0" "0" "0" "0"
HermesCRC_Ham_4x4 HERMESCRC 4 4 16 16 CreditBased 1 AlgorithmXY 1 5 RoundRobin true Hamming false false false false false "0" "0" "0" "0"
Mercury_2x2 MERCURY 2 2 16 16 CreditBased 1 CG 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
Mercury_3x3 MERCURY 3 3 16 16 CreditBased 1 CG 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
Mercury_4x4 MERCURY 4 4 16 16 CreditBased 1 CG 1 5 RoundRobin true none false false false false false "0" "0" "0" "0"
